title	detail_url	thumbnail_url	caption
Werbung (124)	https://eisenbahnstiftung.de/images/bildergalerie/117284.jpg	https://eisenbahnstiftung.de/images/thumbnails/bildergalerie/117284_x.jpg	Werbeanzeige der Berliner Maschinenbau-Actien-Gesellschaft mit 03 009 in Berlin Friedrichstraße. Die Lok wurde im Januar 1932 beim Bw Schneidemühl Pbf in Dienst gestellt und endete 1973 bei der PKP als Pm2-12. (1934) <i>Foto: Werkfoto</i>
01 008	https://eisenbahnstiftung.de/images/bildergalerie/117285.jpg	https://eisenbahnstiftung.de/images/thumbnails/bildergalerie/117285_x.jpg	Die 12.000ste bei Borsig gebaute Lok, 01 008, glänzt im frischen Lack des "Regelanstrichs für Dampflokomotiven der Deutschen Reichsbahn von 1921" im Werk in Berlin-Tegel. Dieser sah vor, dass die Lok in dunkelgrün/schwarz lackiert wurde, das Triebwerk in rotbraun. Am Zylinder wurde eine Erinnerungsplakette montiert, es fehlt noch der Schornsteinaufsatz. Ebenso fehlt die Heimat-Beschilderung, da die Lok zum Aufnahmezeitpunkt noch keiner Direktion zugeteilt war. (08.12.1925) <i>Foto: Werkfoto</i>
Bau der 03 193 (1)	https://eisenbahnstiftung.de/images/bildergalerie/117286.jpg	https://eisenbahnstiftung.de/images/thumbnails/bildergalerie/117286_x.jpg	Bei höheren Geschwindigkeiten spielt der Luftwiderstand einer Lokomotive eine entscheidende Rolle. Dieser ergibt sich aus dem Querschnitt der Lokomotive, einem Widerstandsbeiwert und dem Quadrat der Geschwindigkeit. Ein höherer Eigenwiderstand der Lok bedeutet, dass bei gegebener Kesselleistung immer weniger Kraft am Zughaken übrig bleibt. Die Reichsbahn experimentierte daher vor dem Erscheinen der Baureihe 05 mit zwei Loks der Baureihe 03. Neben der teilverkleideten 03 154 erhielt die hier im Bau befindliche 03 193 eine vollständige Stromlinienverkleidung. Die Borsig-Werkaufnahme zeigt das Anbringen der Verkleidung von Kessel und Triebwerk. Der Oberflächenvorwärmer fand dabei keinen Platz mehr vor dem Schornstein der verjüngten Rauchkammer, sondern wurde in der Blechversteifung oberhalb des Pufferträgers angeordnet. (09.1935) <i>Foto: Werkfoto</i>
Bau einer 03.10	https://eisenbahnstiftung.de/images/bildergalerie/117287.jpg	https://eisenbahnstiftung.de/images/thumbnails/bildergalerie/117287_x.jpg	Entgegen der Angabe auf dem Originalfoto, aufgenommen auf dem Fabrikhof bei Borsig in Hennigsdorf (Kr Osthavelland), handelt es sich hier nicht um 03 193, sondern um eine 03.10, an der gerade die Vormontage der Stromlinienverkleidung stattgefunden hat. Zu Wirkung der Stromlinienverkleidung gibt es detaillierte Anagben aus den Versuchsfahrten der 03 193. Es zeigte sich, dass der Luftwiderstand der stromlinienverkleideten Lok über den gesamten Geschwindigkeitsbereich um rund 50 % vermindert werden konnte. Der gesamte Eigenwiderstand der Lok wurde natürlich nicht in diesem Maße kleiner, da auch noch Roll- und Triebwerkswiderstand zu berücksichtigen waren. Dennoch blieb eine deutlich höhere Zughakenleistung übrig. Bei 100 km/h war dies ein Gewinn von 190 PS (= 15 %), bei 140 km/h von 385 PS (= 48 %).  (11.1940) <i>Foto: Werkfoto</i>
Bau der 03 193 (2)	https://eisenbahnstiftung.de/images/bildergalerie/117288.jpg	https://eisenbahnstiftung.de/images/thumbnails/bildergalerie/117288_x.jpg	Die fertiggestellte 03 193 auf dem Werksgelände der Fa. Borsig in Hennigsdorf (Kr Osthavelland). Die Vorteile der Stromlinienverkleidung ermittelte die Grunewalder Versuchsanstalt für Lokomotiven bei mehreren Versuchsfahrten. Am 20. April 1936 konnte 03 193 einen 250 t Zug bei einem Streckenwiderstand von 1 % mit 138 km/h befördern, die Regellok kam auf nur 128 km/h. Dies ergab auf einer Strecke von 30 km eine Fahrzeiteinsparung von einer Minute. Weshalb wurden nun nicht alle Schnellzugloks mit Stromlinienverkleidung ausgerüstet? Die Verkleidung bot auch einige Nachteile: Zu nennen ist hier der nicht unerhebliche Aufwand für das Anbringen der Verkleidung, das deutliche Mehrgewicht (bei der 03 waren es 6,7 t) sowie Probleme bei der Wartung des Triebwerks. Dennoch beabsichtigte die Reichsbahn weitere fünf Lokomotiven der Baureihe 03 mit Stromlinienverkleidung zu versehen. Letztlich machten die sich abzeichnenden Kriegsvorbereitungen alle weiteren Pläne zunichte.  (30.09.1935) <i>Foto: Werkfoto</i>
03 240	https://eisenbahnstiftung.de/images/bildergalerie/117289.jpg	https://eisenbahnstiftung.de/images/thumbnails/bildergalerie/117289_x.jpg	Am 1. August 1936 lieferte das Borsig-Werk in Hennigsdorf (Kr Osthavelland) die mit der Fabriknummer 14619 gebaute 03 240 ab. Da gerade die Olympischen Spiele in Berlin stattfanden, wurde dies sogleich propagandistisch ausgeschlachtet. Nach der Abnahme am 17.08.1936 im RAW Braunschweig wurde die Lok dem Bw Osnabrück Hbf zugewiesen. (01.08.1936) <i>Foto: Werkfoto</i>
04 001 auf Probefahrt	https://eisenbahnstiftung.de/images/bildergalerie/117290.jpg	https://eisenbahnstiftung.de/images/thumbnails/bildergalerie/117290_x.jpg	Im Jahr 1932 versuchte die Deutsche Reichsbahn durch die Verwendung hochfester Stähle den Kesseldruck zu steigern. Obwohl sich bei Messfahrten die von der Firma Krupp gebauten Versuchsfahrzeuge 04 001 und 002 als überaus leistungsfähig erwiesen, traten nach kurzer Zeit Schäden an der Feuerbüchse auf, sodass man den Druck ab 1935 wieder herabsetzte und ihnen die Betriebsnummern 02 101 und 02 102 zuwies. Das Foto zeigt 04 001 vor einem Messzug der Versuchsabteilung für Lokomotiven Grunewald. (1932) <i>Foto: Werkfoto</i>
41 002	https://eisenbahnstiftung.de/images/bildergalerie/117291.jpg	https://eisenbahnstiftung.de/images/thumbnails/bildergalerie/117291_x.jpg	Die Vorserienlok 41 002 präsentiert sich im grauen Fotografieranstrich auf dem Hof der BMAG in Wildau bei Berlin. Am 16. Januar 1937 wurde sie der Reichsbahn übergeben und am 30.01.1937 im RAW Meiningen abgenommen. Anschließend stand sie der Versuchsabteilung für Lokomotiven des RAW Grunewald zur Erprobung der neuen Baureihe zur Verfügung, ehe sie am 24.07.1937 dem Bw Schneidemühl Vbf zugewiesen wurde. Ihr 'Lokleben' endete am 11.06.1967 beim Bw Hamburg-Harburg. (01.1937) <i>Foto: Werkfoto</i>
41 182	https://eisenbahnstiftung.de/images/bildergalerie/117292.jpg	https://eisenbahnstiftung.de/images/thumbnails/bildergalerie/117292_x.jpg	41 182 in einem retuschierten Werkfoto im grauen Fotografieranstrich bei Orenstein & Koppel in Drewitz bei Potsdam. Nach der Abnahme im RAW Braunschweig wurde die Lok ab 18.06.1939 dem Bw Breslau-Mochbern zugeteilt. (06.1939) <i>Foto: Werkfoto</i>
41 186 auf Probefahrt	https://eisenbahnstiftung.de/images/bildergalerie/117293.jpg	https://eisenbahnstiftung.de/images/thumbnails/bildergalerie/117293_x.jpg	41 186 in einer Werkaufnahme der MF Esslingen auf Probefahrt im Großraum Stuttgart. Nach der Abnahmeuntersuchung am 02.06.1939 im RAW Eßlingen (Neckar) wurde sie dem Bw Stuttgart-Rosenstein zugeteilt. (05.1939) <i>Foto: Werkfoto</i>
43 020	https://eisenbahnstiftung.de/images/bildergalerie/117294.jpg	https://eisenbahnstiftung.de/images/thumbnails/bildergalerie/117294_x.jpg	Feierlich geschmückt präsentiert sich 43 020 als 21.000 Lok von Henschel. Nach ihrer Abnahme im RAW Kassel am 29.02.1928 wurde sie dem Bw Weißenfels zugeteilt. (02.1928) <i>Foto: Werkfoto</i>
44 143	https://eisenbahnstiftung.de/images/bildergalerie/117295.jpg	https://eisenbahnstiftung.de/images/thumbnails/bildergalerie/117295_x.jpg	44 143 in einer stark retuschierten Werkaufnahme von Krauss-Maffei in München. Auf den Lack gab es offenkundig 3 Jahre Garantie. Die Abnahme der Lok erfolgte am 30.11.1938 im RAW Meiningen, ihr erstes Heimat-Bw war Treuchtlingen. (11.1938) <i>Foto: Werkfoto</i>
