z	Ep	BV	Adr	Dec	SS	KD	GAM	Puf	NMZ	Gattung neu	Gattung alt	ID	Ordnungsnummer	RBD oder Bezirk	BW	Hst	Artikelnummer	Set	LüP	Datum	Ohne OVP	Zust	Kaufpreis	Quelle	Anmerkung
;Dampfloks
	II	DRG			Ohne	-	x	-	-	86		L42	86 436			Fl	781101		97	26.10.2022		neuw	166,8	1zu160	Eigentlich DB-Lok Flm 7086. Erworben mit Faulhaber, dann Gehäusewechsel 70€ zur DRB-Lok
x	III	DR			Ohne	-	-	-	-	86		L111	86 184	Dresden	Riesa	Fl	F7087		87	31.12.2015		gebr	90,5	ebay	
	IV	DR			Ohne	-	-	-	-	86		L112	86 1001-6			Fl	931002	931002	87	07.11.2024		gebr	90,49	ebay	Aus Set 
x	I	KBayStsB	33	DH…	Ohne	x	-	-	-		R3/3	L113	4769			Tr	12255		60	22.07.2022		neuw	99,5	1zu160	Werksseitiger Decoder
	II	DRG	89	DCX76z	Ohne	-	-	-	-	89^7	R3/3	L43	89 707	München	München Hbf	Tr	11422.0	11422	60	24.11.2019		neuw	44,3775	ebay	Im Set, Wagen mit je 12€ bewertet
	II	DRG			Ohne	-	-	-	-	89^74-75	T3	L44	89 7493	Stettin	Stettin	Ar	2220		54	27.09.1999		gebr	48,5727287136408	MBW	Motorlose Zweitlok: 20DM
x	I	KPEV			Ohne	-	-	-	-		T93	L114	7337	Berlin		Fl	781202	781202	68	14.03.2025		neuw	64,1866666666667	ebay	Dunkelgrün, brünierte Steuerung. Im Set, 3 Wagen mit je 22€ bewertet und einer verkauft
x	I	KPEV			Ohne	-	-	-	-		T93	L115	7294	Altona		Fl	7898-1	7898	68	12.12.2020		neuw	80,89	ebay	Im Set, Wagen mit je 15€ bewertet
x	I	KPEV			Ohne	-	-	-	-		T93	L116	7337	Altona		Fl	7898-1	7898	68	14.07.2024		neuw	30	ebay	Im Set, Wagen mit je 15€ bewertet
	III	DR			Ohne	-	-	-	-	91^3-18	T93	L117	91 1001			Fl	7030		68	27.06.2020		gebr	49,5	ebay	Handbrünierte Steuerung/Räder
	I	KPEV			NEM651	-	-	-	-		T13	L118	7909			Fl	781503	781503	69	13.03.2025		neuw	70,4066666666667	ebay	Im Set, 2 Wagen mit je 22€ bewertet und 2 für je 21,68 verkauft
	II	DRG	92	DCX76	NEM651	-	-	-	-	92^5-10	T13	L45	92 1004	Altona	Altona	Fl	709201		69	18.08.2013		neu	143,99	MSL	
	II	DRG	93	DH10B	Platine	x	-	-	-	92^20	R4/4	L46	92 2048			Tr	11631	11631	69	10.11.2019		neuw	102,666666666667	ebay	Im Set, ohne kurzen Kühlwagen, Wagen mit je 10/15€ bewertet
	II	DRG			Ohne	-	-	-	-	93^5-12	T141	L47	93 400	Berlin	Tempelhof	Ar	2292		90	19.05.2022		neuw	90,39	ebay	
