ID	Epoche	BV	Gattungsbezirk	Ordnungsnummer	Direktion	Bahnbetriebswerk	Hst	Art.-Nr.
L61	II	DRG	(BPwPostK8vT-34)	SVT 137 155			HT	2630
L62	II	DRG	(B6i VT)	SVT 877a/b	Berlin	Lehrter Bf	Ka	10707
L63	II	DRG	(B6i VT)	SVT 137 149a+b	Berlin	Lehrter Bf	Ka	10711
L64	II	DRG	(B12 KVT)	SVT 137 853 a+b+c	Berlin	Berlin Ahb	HT	16061
L65	II	DRG	(B12 KVT)	SVT 137 853 a+b+c	Berlin	Berlin Ahb	HT	16061
L151	IV	DR	SVT175	175 011-6				
5teilig. Kauf war 6teilig - Überschuss Verkauf 73213 - 2 Mittelwagen (50€) und 1 Mittelwagen dieses Sets (50€)	Berlin	Karlshorst						
L152	IV	DR	SVT175	175 009-0				
4teilg	Berlin	Karlshorst						
;Elloks
L66	II	DRG	E04	E 04 05	Halle	Leipzig-West	HN	2134
L153	IV	DR	E04	204 011-1	Halle	Leipzig Hbf West	HN	2138
L67	II	DRG	E17	E 17 113			HT	2890
L68	II	DRG	E18	E 18 39			Pi	40303
L154	IV	DR	E18	218 019-8	Halle	Halle P	Pi	40302
L69	II	DRG	E19.0	E 19 02	N�rnberg	N�rnberg Hbf	Fl	877914
L70	II	DRG	E19.1	E 19 11	N�rnberg	N�rnberg Hbf	Ar	2491
L71	II	DRG	E32 (EP2)	E 32 108			Fl	737001
L72	II	DRG	E36 (EP3)	E 36 01	M�nchen	Freilassing	Tr	12462
L73	II	DRG	E44.5	E 44 103			Li	162540
L74	II	DRG	E44	E 44 019			Br	63100
L75	II	DRG	E69	E 69 05			Fl	737101
L155	IV	DR	211	211 036-9	Halle	Leipzig Hbf West	HN	2275.0
L156	IV	DR	211	211 048-4			Br	63019
L157	IV	DR	242	242 005-7	Dresden	Dresden	HN	2524D
L158	IV	DR	242	242 089-1	Erfurt	Erfurt	Br	1201
L159	III	DR	242	E 42 011	Halle	Halle P	HN	2273
L160	IV	DR	230	230 011-9	Dresden	Dresden	K�	95024
L161	IV	DR	250	250 001-5	Halle	Halle P	HN	2283
L162	IV	DR	250	250 226-8	Erfurt	Erfurt	HN	2373
L163	IV	DR	251	251 010-5	Magdeburg	Blankenburg	HN	2285
L164	IV	DR	212	212 001-2	LEW	LEW	HN	2076
L165	IV	DR	243	243 599-8			HN	2032
L166	V	DB	143	143 573-4	Erfurt	Erfurt	Ro	23276
L76	II	DRG	E75	E 75 06			Tr	12537
L77	II	DRG	E77	E 77 28	M�nchen	M�nchen	Br	63003
L167	III	DR	E77	E 77 10			Br	1250
L78	II	DRG	E91	E 91 102			Pi	40544
L79	II	DRG	E93	E 93 01	Stuttgart	Kornwestheim	Tr	12752
L80	II	DRG	E94	E 94 058	Erfurt	Probstzella	Fl	739401
L168	III	DR	E94	E 94 069	Halle	Halle P	Fl	739403
L169	IV	DR	E94	254 110-0			Fl	739410
L170	III	DR	E95	E 95 02			Br	1210
;Elektr. Triebwagen
L175	II	DRG						
117,085840793934	L81	C4esT-29 + BC4esS-29		TöffTöff				
L176	II	DRG						
110	L82	C4esT-29 + BC4esS-29		ebay				
L177	II	DRG						
65,9566526743122	L83	C4esT-29 + BC4es-29		TöffTöff				
L178	II	DRG						
99,99	L84	C4esT-29 + BC4es-29		ebay				
L179	II	DRG						
42,2	L85	C4esT-29 + BC4es-29		ebay				
L180	II	DRG						
65	L86	C4esT-29 + BC4esS-29		ebay				
L181	II	DRG						
93	L87	C4esT-29 + BC4esS-29		ebay				
L182	II	DRG						
93	L88	C4esT-29 + BC4esS-29		ebay				
L89	II	DRG	ET85	elT 1130			Ro	23001
L90	II	DRG	ET25	elT 1130			Ka	10709
L171	VI	DB	ET425	.			Ka	10703
L172	VI	DB	ET425	.			Ka	10707
L173	I	KPEV	(AT3)	435/436			HT	15771
L91	II	DRG	AT3	AT3 375+376			Ro	23012
L92	II	DRG	AT3	AT3 295+296			HT	15772
L93	II	DRG	AT3	AT3 405+406	Mainz		Ro	23390
;Sonstiges
;-
;VI
;Etc
P1	II	RP	Erfurt	5084				
P2	II	DRG	Berlin	736 762				
P3	II	DRG	Osten	730 003				
P4	II	DRG		088 719				
;Bay. Schnellzugwagen
P5	I	Pfalzbahn		290				
P6	II	DRG	München	107 253				
P7	I	KBayStsB	München	21 088				
P8	I	KBayStsB	München	21 088				
P9	I	KBayStsB	München	21 088				
P10	II	DRG	München	13 190				
P11	II	DRG	München	13 191				
P12	I	Pfalzbahn		5062				
P13	I	KBayStsB	München	26 011				
P14	I	KBayStsB	München	26 011				
P15	I	Pfalzbahn		1732				
P16	I	Pfalzbahn		3071				
P17	II	DRG	München	17 652				
P18	II	DRG	München	17 645				
P19	II	DRG	München	17 647				
;Württ. Schnellzugwagen
P20	I	KWStE	Württemberg	6581				
P21	II	DRG	Altona	108 601				
P22	I	KWStE		1838				
P23	II	DRG	Stuttgart	14 936				
P24	I	KWStE		5807				
P25	I	KWStE		5807				
P26	II	DRG	Stuttgart	15 922				
P27	II	DRG	Stuttgart	15 922				
P28	I	KWStE		6332				
P29	I	KWStE		6332				
P30	I	KWStE		6332				
P31	II	DRG	Stuttgart	18 023				
P32	II	DRG	Stuttgart	18 023				
P33	II	DRG	Stuttgart	18 023				
;Preuß. Schnellzugwagen
P34	I	KPEV	Halle	1141				
P35	I	KPEV	Posen	3107				
P36	I	KPEV	Stettin	05241				
P37	II	DRG	Altona	107 303				
P38	II	DRG	Altona	107 303				
P39	II	DRG	Berlin	107 318				
P40	I	KPEV	Halle	02731				
P41	I	KPEV	Halle	02731				
P42	I	KPEV	Altona	2902				
P43	I	KPEV	Halle	03303				
P44	I	KPEV	Halle	03303				
P45	I	KPEV	Halle	03303				
P46	I	KPEV	Halle	03303				
P47	I	KPEV	Altona	03011				
P48	II	DRG	Altona	18 041				
P49	II	DRG	Altona	18 041				
P50	II	DRG	Altona	18 041				
P51	II	DRG	Berlin	17 927				
P52	II	DRG	Berlin					
P53	I	DESG		792				
P54	I	DESG		777				
P55	II	Mitropa	Mitropa	798				
P56	II	Mitropa	Mitropa	798				
P57	II	Mitropa	Mitropa	707				
P58	I	KPEV	Mitropa	2023				
P59	I	KPEV	Mitropa	2023				
P60	I	KPEV	Mitropa	2069				
P61	I	KPEV	Mitropa	2069				
P62	I	KPEV	Mitropa	2067				
P63	II	DRG	Altona	13 305				
P64	II	DRG	Altona	14 892				
P65	II	DRG	Berlin	14 805				
P66	II	DRG	Berlin	14 805				
P67	II	DRG	Berlin	14 805				
P68	II	Mitropa		20812				
