z	Korr	Ep	BV	Bel	Gattung	Bezirk	Wagennr.	Id	OVP	Herst	Art.-Nr.	Set	LüP	Datum	KP	Quelle	Zugschluss	Zuglauf	Anmerkung
		II	Mitropa	-	WL4ü-pr01		20019	P70		Fl	8078		128	09.03.2019	20	1zu160			
		II	Mitropa	-	WL4ü-pr01		20019	P71		Fl	8078		128	27.07.2024	15,06	1zu160			
		II	Mitropa	-	WL6ü-pr01		20849	P72		Fl	=HYPERLINK("https://www.spur-n-datenbank.de/cb_detail.php?nr=6948";"807801")		128	09.03.2019	20	1zu160		Westerland - Hamburg - Berlin L	
		II	Mitropa	-	WL6ü-pr01		20849	P73		Fl	807801		128	09.03.2019	20	1zu160		Westerland - Hamburg - Berlin L	
;Preuß. Eilzugwagen
		I	KPEV	-	PP	Erfurt	3022	P74		Fl	8800		116	24.01.2022	11,75	ebay		von Erfurt über Sangerhausen-Dessau nach Berlin	Ohne KKK
;Fehler 2015
		I	DRP	-	Post4-prb/17	Berlin	2993	P76		Fl	8803		116	24.01.2022	11,75	ebay			Ohne KKK
		I	DRP	-	Post4-prb/17	Berlin	2993	P77		Fl	8803		116	24.01.2022	11,75	ebay			Ohne KKK
		II	DRP	-	Post4-prb/17	Hannover	99 524	P78		Fl	881005		116	04.03.2013	17,9333333333333	ebay			
		I	KPEV	-	ABCC	Erfurt	126	P79		Fl	8891		116	24.01.2022	11,75	ebay		von Eisenach über Erfurt nach Weimar	
		I	KPEV	-	ABCC	Erfurt	126	P80		Fl	8891		116	24.01.2022	11,75	ebay		von Eisenach über Erfurt nach Weimar	
		I	KPEV	-	ABCC	Erfurt	126	P81		Fl	8891		116	24.01.2022	11,75	ebay		von Eisenach über Erfurt nach Weimar	
		I	KPEV	-	ABCC	Erfurt	126	P82		Fl	8891	7890	116	03.05.2022	15	ebay		von Eisenach über Erfurt nach Weimar	Mit 15€ bewertet
		I	KPEV	-	ABCC	Erfurt	126	P83		Fl	8891		116	12.06.2023	12,7475	ebay		von Eisenach über Erfurt nach Weimar	
		II	DRG	-	B4-pr04	Altona	20 664	P84		Fl	8085		116	17.12.2002	15,125	ebay			
		II	DRG	-	BC4-pr04	Halle	61 042	P85		Fl	8873		116	04.03.2013	17,9333333333333	ebay			
		II	DRG	-	BC4-pr04	Halle	61 042	P86		Fl	8873	7897	116	23.05.2007	18	ebay			
		II	DRG	-	BC4-pr04	Halle	61 042	P87		Fl	8873	7897	116	11.07.2024	5,2	ebay			
		II	DRG	-	BC4-pr04	Halle	61 042	P88		Fl	8873	7897	116	14.08.2025	5,238	ebay			
		II	DRG	-	BC4-pr04	Halle	61 042	P89		Fl	8873		116	30.08.2019	12,995	ebay			MIt Profikupplungen
		I	KPEV	-	CC	Erfurt	242	P90		Fl	8802		116	24.01.2022	11,75	ebay		von Erfurt über Sangerhausen-Dessau nach Berlin	Ohne KKK
		I	KPEV	x	CC	Erfurt	262	P91		Fl	8890	7890	116	24.01.2022	11,75	ebay		von Erfurt über Sangerhausen-Dessau nach Berlin	
		I	KPEV	-	CC	Erfurt	262	P92		Fl	8890	7890	116	03.05.2022	15	ebay		von Eisenach über Erfurt nach Weimar	Mit 15€ bewertet
		I	KPEV	-	CC	Erfurt	262	P93		Fl	8890		116	12.06.2023	12,7475	ebay			
		I	KPEV	-	CC	Erfurt	262	P94		Fl	8890		116	12.06.2023	12,7475	ebay		von Eisenach über Erfurt nach Weimar	
		II	DRG	-	C4-pr04	Halle	62 049	P95		Fl	8874		116	30.08.2019	12,995	ebay	?		MIt Profikupplungen
		II	DRG	-	C4-pr04	Altona	41 800	P96		Fl	8086		116		12,75				
		II	DRG	-	C4-pr04	Halle	62 049	P97		Fl	8874		116	07.04.2015	24,4653165152391	SMDV			
		II	DRG	-	C4-pr04	Halle	62 049	P98		Fl	8874	7897	116	23.05.2007	18	ebay			
		II	DRG	-	C4-pr04	Halle	62 049	P99		Fl	8874	7897	116	11.07.2024	5,2	ebay			
