z	Korr	Ep	BV	Bel	Gattung	Bezirk	Wagennr.	Id	OVP	Herst	Art.-Nr.	Set	LüP	Datum	KP	Quelle	Zugschluss	Zuglauf	Anmerkung
		IV	DR	-	DBva			P403		HN	4472.2	4472		09.01.2025	45,975	MSL			
		IV	DR	-	DBva			P404		HN	4472.3	4472		09.01.2025	45,975	MSL			
		IV	DR	-	DBvq			P405		HN	4473.4	4472		09.01.2025	45,975	MSL			
;4achs. Rekowagen
		IV	DR	-	BDghwse			P406		Br	65044		116,9	03.12.2012	39,85	Hünerbein			
		IV	DR	-	BDghwse			P407	-				117	24.03.2026	34,5333333333333	1zu160 Fabian Goll		Dach rehbraun	
		IV	DR	-	Bghwe		50 50 28-05 009-2	P408		Br	65043		116,9	27.11.2012	35,91	Exoneit			
		IV	DR	-	Bghwe		50 50 28-05 009-2	P409		Br	65043		116,9	27.11.2012	35,91	Exoneit			
		IV	DR	-	Bghwe		57 50 28-14 455-9	P410		Br	65033		116,9	10.06.2018	26,6666666666667	1zu160			
		IV	DR	-	Bghwe		57 50 28-13 262-0	P411		Br	65034		116,9	10.06.2018	26,6666666666667	1zu160			
		IV	DR	-	Bghwe		57 50 28-13 262-0	P412	-	Br	65034		116,9	10.06.2018	34,5333333333333	1zu160 Fabian Goll			
		IV	DR	-	Bghwe		57 50 28-13 262-0	P413	-	Br	65034		116,9	10.06.2018	34,5333333333333	1zu160 Fabian Goll			
		IV	DR	-	Bghwe		57 50 28-13 262-0	P414	-	Br	65034		116,9	10.06.2018	34,5333333333333	1zu160 Fabian Goll			
		IV	DR	-	Bghwe		57 50 28-13 420-4	P415		Br	65035		116,9	10.06.2018	26,6666666666667	1zu160			
		IV	DR	-	Bghwe		57 50 28-13 420-4	P416	-	Br	65035		116,9	10.06.2018	34,5333333333333	1zu160 Fabian Goll			
		IV	DR	-	Bghwe		57 50 28-13 420-4	P417	-	Br	65035		116,9	10.06.2018	34,5333333333333	1zu160 Fabian Goll			
;2/3achs. Rekowagen
		IV	DR	-				P418		HN	4167.1	4167	82	21.11.2014	16,598	MSL			Propangaszug
		IV	DR	-				P419		HN	4167.2	4167	82	21.11.2014	16,598	MSL			Propangaszug
		IV	DR	-				P420		HN	4167.3	4167	82	21.11.2014	16,598	MSL			Propangaszug
		IV	DR	-	Bag		50 50 24-25 371-1	P421		HN	4163.1	4163	82	15.12.2015	20,8666666666667	ds-Automodelle			
		IV	DR	-	Bag		50 50 23-24 719-8	P422		HN	4163.1	4163	82	15.12.2015	20,8666666666667	ds-Automodelle			
		IV	DR	-	Baage		50 50 24-15 020-1	P423		HN	4163.2	4163	82	15.12.2015	20,8666666666667	ds-Automodelle			
		IV	DR	-	Bage		50 50 23-15 296-2	P424		HN	4163.2	4163	82	15.12.2015	20,8666666666667	ds-Automodelle			
		IV	DR	-	Bage		50 50 23-15 188-7	P425		HN	4163.3	4163	82	15.12.2015	20,8666666666667	ds-Automodelle			
		IV	DR	-	Dag		50 50 93 50 070-2	P426		HN	4163.3	4163	82	15.12.2015	20,8666666666667	ds-Automodelle			
		IV	DR	-	Post a		50 50 90 15 871-6	P427		HN	01.01.4164	4164	82	29.09.2018	21,5	1zu160			
		IV	DR	-	Bagtre		50 50 23 15 351-1	P428		HN	01.02.4164	4164	82	29.09.2018	21,5	1zu160			Traglasten
;3achs. Umbauwagen
x		IV	DB	x	BD3yg		99 331 Wt	P429		Fl	8097		83	23.12.2022	16	1zu160		Hagen Westf.-Düsseldrof Hbf	
x		IV	DB	x	B3yg		86 033 Wt	P430		Fl	8096		83	23.12.2022	16	1zu160		Hagen Westf.-Düsseldrof Hbf	
x		IV	DB	x	AB3yg		37 003 Wt	P431		Fl	8098		83	23.12.2022	16	1zu160		Hagen Westf.-Düsseldrof Hbf	
x		IV	DB	x	B3yg		85 862 Wt	P432		Fl	8099		83	23.12.2022	16	1zu160		Hagen Westf.-Düsseldrof Hbf	
x		IV	DB	x	B3yg		85 862 Wt	P433		Fl	8099		83	23.12.2022	16	1zu160		Hagen Westf.-Düsseldrof Hbf	
