Bahnhof	lat	lon
Wurmlingen Ort	48,002385	8,777561
Würzburg Hbf	49,801835	9,935718
Würzburg Süd	49,788745	9,942799
Wurzmes	50,510261	13,489151
Wustermark	52,549636	12,975712
Wutha	50,957129	10,395985
Wyhlen	47,546408	7,690086
Ybbs-Kemmelbach	48,154520	15,091267
Yorckstraße	52,492554	13,371906
Zabeltitz	51,205800	13,305500
Zahna	51,551300	12,465300
Zalusch	50,457285	14,325314
Zapfendorf	50,018329	10,929809
Zbirow	49,832668	13,785610
Zditz	49,907460	13,979416
Zeiselmauer-Königstetten	48,326640	16,175222
Zeithain	51,329861	13,343582
Zeitz	51,056610	12,131481
Zell (Pram)	48,317251	13,624077
Zella-Mehlis	50,647937	10,674677
Zellendorf	51,533600	13,040200
Zerbst	51,953549	12,089639
Zeutsch	50,755355	11,507492
Zieditz	50,149730	12,601597
Ziersdorf	48,527064	15,923138
Zimmern	49,595135	9,790192
Zohor	48,323729	16,990013
Zossen	52,130800	13,261800
Zschaitz	51,169065	13,155870
Zschortau	51,285900	12,214100
Zumhaus	49,215523	10,237391
Züttlingen	49,291993	9,329367
Zwingenberg (Bergstr)	49,726033	8,608990
Zwittau	49,759312	16,479492
