Bahnhof	lat	lon
Geisenhausen	48,473832	12,248125
Geisenheim	49,985504	7,967577
Geisingen	47,921289	8,654308
Geltendorf	48,105712	11,037483
Gengenbach	48,404876	8,009977
Georgensmünd	49,184957	11,017570
Gera Hbf	50,883597	12,076721
Gera Süd	50,870328	12,077579
Gera-Zwötzen	50,850879	12,082472
Gerlachsheim	49,580890	9,710712
Germendorf	52,752633	13,172693
Gernsheim	49,753989	8,489771
Geroldshausen	49,686789	9,903746
Gersthofen	48,422708	10,861187
Gerstungen	50,964414	10,064507
Gessertshausen	48,333658	10,732613
Giersleben	51,764759	11,565857
Girching	48,664777	13,070126
Glaubendorf-Wetzdorf	48,505687	15,941334
Glaubitz (b Riesa)	51,190200	13,215700
Gmünd (Waldv) Hbf	48,762186	14,968486
Gmünd (Waldv) Stadt	48,764789	14,984751
Gmundbrücke	47,626500	12,987385
Goddelau-Erfelden	49,833222	8,489342
Göggingen	48,338679	10,886078
Golm	52,409278	12,971678
Golßen (Niederlausitz)	51,581600	13,343100
Gommern	52,075391	11,838284
Göpfritz	48,729926	15,395622
Göschwitz	50,883868	11,592808
Gößnitz	50,893397	12,428627
Gotha	50,938960	10,712357
Gottmadingen	47,737419	8,775072
Götzdorf	48,490558	12,211647
Graben-Neudorf	49,162793	8,491316
Grafenberg	48,632455	15,841770
Gräfenhainichen	51,724370	12,459354
Gräfenroda	50,759156	10,834064
Grafrath	48,132299	11,152840
Grasset	50,189374	12,675047
Greifenstein-Altenberg	48,341532	16,230927
Gremberghoven	50,895563	7,056742
Grenzach	47,550579	7,660046
Grenzacher Horn	47,563902	7,635326
Greppin	51,646040	12,296233
Griebo	51,880412	12,522697
Griesbach (Innkr)	48,336540	13,595538
Grieskirchen-Gallspach	48,229533	13,844662
Grießen (Baden)	47,628409	8,395915
Grimmenthal	50,533126	10,449800
Gröditz (b Riesa)	51,434962	13,486919
Grönhart	48,992834	10,932255
Groschlattengrün	49,969386	12,166865
Groß Gerau-Dornberg	49,911413	8,494492
Groß Rohrheim	49,714713	8,477368
Groß Schierstedt	51,751477	11,521139
Groß Sirning	48,188178	15,458622
Groß Welkersdorf	48,470987	15,975151
Großaitingen	48,221928	10,802479
Großaltdorf	49,125567	9,902630
Großbeeren	52,210300	13,170500
Groß-Dalzig	51,208281	12,271042
Großdeuben	51,231505	12,382965
Großenhain Berl Bf	51,174600	13,311200
Großgründlach	49,535403	10,997057
Großheringen	51,106163	11,657438
Großkorbetha	51,160000	12,011700
Großlehna	51,181700	12,101000
Großsachsen-Heddesheim	49,510553	8,634567
Grube Ludwig	51,341000	12,170800
Grüna-Kloster Zinna	52,015200	13,044500
Gründlkofen	48,525814	12,032604
Grüningen	47,983143	8,469772
Grünsfeld	49,604870	9,746504
Gundelfingen	48,044120	7,873936
Gundelsdorf	50,280619	11,300855
Gundelsheim	48,910429	10,840931
Gunskirchen	48,133101	13,945084
Guntersblum	49,791183	8,350639
Guntershausen	51,230000	9,466953
Günzach	47,819725	10,440102
Günzburg	48,461255	10,278397
Güsten	51,794284	11,602421
Gutach	48,247597	8,216572
Gutenfürst	50,419046	11,960635
Güterglück	51,993416	11,986599
Gutmadingen	47,913121	8,615513
Guxhagen	51,204383	9,481630
Haag (Niederdonau)	48,117861	14,586067
Haarhausen	50,867836	10,905089
Hagelstadt	48,895703	12,214994
Haggen	47,515621	9,754057
Hähnlein-Alsbach	49,739347	8,606329
Haidhof	49,197971	12,107706
Haiding	48,209746	13,974609
Halle (S) Hbf	51,284000	11,591200
Hallstadt (b Bamberg)	49,929511	10,885434
Hallthurm	47,701675	12,933226
Hallwang-Elxhausen	47,857057	13,086605
Haltingen	47,612904	7,611380
Hammerau	47,795831	12,946143
Hanau Hbf	50,121404	8,928580
Harbatshofen	47,608275	10,007730
Hard-Fussach	47,479914	9,688911
Haslach	48,280794	8,087139
Haspelmoor	48,223300	11,098251
Hattenheim	50,014082	8,058257
Hattersheim (Main)	50,067993	8,488827
Hattingen (Baden)	47,918183	8,774900
Haueneberstein	48,812177	8,209791
Hausach	48,284963	8,181639
Haynsburg	51,028116	12,065306
Hegne	47,706065	9,099126
Heidelberg Hbf	49,404090	8,675272
Heidelberg-Kirchheim	49,380026	8,674908
Heidelberg-Wieblingen	49,412872	8,644009
Heidingsfeld West	49,763969	9,940996
Heilbronn Hbf	49,143482	9,207916
Heilbronn Sülmertor	49,151538	9,220362
Heilbronn-Böckingen	49,135901	9,196072
Heilsbronn	49,346096	10,791578
Heimenkirch	47,628554	9,903316
Heinebach	51,045657	9,664600
Heitersheim	47,880952	7,646227
Hemsbach	49,590016	8,649073
Heppenheim (Bergstr)	49,641734	8,632765
Herbertshofen	48,529566	10,847626
Herblingen	47,717269	8,664308
Herbolzheim (Breisgau)	48,223872	7,767334
Herbolzheim (Jagst)	49,281356	9,259586
Hergatz	47,646598	9,826841
Hergensweiler	47,612875	9,775257
Herlasgrün	50,570700	12,234950
Herleshausen	51,002576	10,173383
Herrenberg	48,593754	8,862448
Hersfeld	50,869570	9,716034
Herten (Baden)	47,550000	7,740383
Herzberg (Elster) Reichsb	51,411800	13,141500
Heustreu Bahnhof	50,352334	10,253463
Hintschingen	47,928421	8,696022
